TableHead,Date,Opening Balance,Daily Utilization,Closing Balance*,New Stock Received,Final Balance
Covid Vaccine- Stock Utilization & Reciept in doses(Govt sector),10-09-2021,986690,643300,359970,0,359970
,11-09-2021,359970,212160,158580,0,158580
,12-09-2021,158580,31820,130220,0,130220
,13-09-2021,130220,97210,40330,0,40330
,14-09-2021,40330,26410,12810,1660650,1673460
,15-09-2021,1673460,476640,1210720,458710,1669430
,16-09-2021,1669430,524760,1159900,0,1159900
,Total,,2012300,,2119360,
